Characteristic,Total,Male,Female,Unknown
AGE,,,,
Total,"1,122,373","509,104","613,192",77
Under 1 year,"11,286","4,361","6,925",-
1 to 4 years,"30,908","13,633","17,274",1
5 to 9 years,"58,425","29,728","28,693",4
10 to 14 years,"74,470","38,355","36,106",9
15 to 19 years,"96,273","48,644","47,622",7
20 to 24 years,"99,510","42,352","57,150",8
25 to 29 years,"133,042","53,227","79,807",8
30 to 34 years,"162,596","75,438","87,142",16
35 to 39 years,"128,988","60,262","68,719",7
40 to 44 years,"96,061","44,188","51,869",4
45 to 49 years,"68,526","30,684","37,837",5
50 to 54 years,"49,137","21,376","27,759",2
55 to 59 years,"36,536","15,216","21,318",2
60 to 64 years,"26,807","10,885","15,922",-
65 to 74 years,"36,684","15,479","21,203",2
75 years and over,"13,105","5,266","7,837",2
Unknown,19,10,9,-
BROAD AGE GROUPS,,,,
Total,"1,122,373","509,104","613,192",77
Under 16 years,"192,472","94,932","97,525",15
16 to 20 years,"102,291","50,986","51,296",9
21 years and over,"827,591","363,176","464,362",53
Unknown,19,10,9,-
MARITAL STATUS,,,,
Total,"1,122,373","509,104","613,192",77
Single,"421,335","218,598","202,708",29
Married,"650,829","278,106","372,698",25
Widowed,"24,006","2,869","21,136",1
Divorced/separated,"21,588","7,270","14,315",3
Unknown,"4,615","2,261","2,335",19
OCCUPATION,,,,
Total,"1,122,373","509,104","613,192",77
"Management, professional, and related occupations","134,861","87,106","47,749",6
Service occupations,"49,589","25,840","23,749",-
Sales and office occupations,"34,923","15,476","19,443",4
"Farming, fishing, and forestry occupations","12,362","9,716","2,646",-
"Construction, extraction, maintenance and repair occupations","10,472","10,104",366,2
"Production, transportation, and material moving occupations","51,040","35,238","15,802",-
Military,206,104,102,-
No occupation/not working outside home,"514,340","181,855","332,455",30
Homemakers,"139,788","3,103","136,682",3
Students or children,"292,227","143,772","148,431",24
Retirees,"8,829","4,184","4,645",-
Unemployed,"73,496","30,796","42,697",3
Unknown,"314,580","143,665","170,880",35
