Characteristic,Total,Male,Female,Unknown
AGE,,,,
Total,"1,016,518","468,653","547,361",504
Under 1 year,"4,170","2,116","1,979",75
1 to 4 years,"33,408","17,067","16,339",2
5 to 9 years,"48,935","24,993","23,942",-
10 to 14 years,"57,245","29,412","27,830",3
15 to 19 years,"76,376","39,288","37,083",5
20 to 24 years,"93,468","41,601","51,858",9
25 to 29 years,"122,327","53,452","68,872",3
30 to 34 years,"132,821","61,691","71,121",9
35 to 39 years,"110,482","53,666","56,811",5
40 to 44 years,"86,227","39,665","46,561",1
45 to 49 years,"67,919","29,997","37,918",4
50 to 54 years,"53,828","22,943","30,879",6
55 to 59 years,"42,640","17,420","25,219",1
60 to 64 years,"33,190","13,315","19,874",1
65 to 74 years,"39,084","16,208","22,873",3
75 years and over,"13,996","5,805","8,191",-
Unknown,402,14,11,377
BROAD AGE GROUPS,,,,
Total,"1,016,518","468,653","547,361",504
Under 16 years,"156,946","80,453","76,412",81
16 to 20 years,"81,718","41,529","40,184",5
21 years and over,"777,452","346,657","430,754",41
Unknown,402,14,11,377
MARITAL STATUS,,,,
Total,"1,016,518","468,653","547,361",504
Single,"365,309","192,743","172,336",230
Married,"594,216","262,385","331,616",215
Widowed,"24,585","3,004","21,562",19
Divorced/separated,"28,721","8,587","20,112",22
Unknown,"3,687","1,934","1,735",18
OCCUPATION,,,,
Total,"1,016,518","468,653","547,361",504
"Management, professional, and related occupations","118,630","75,196","43,415",19
Service occupations,"50,142","29,505","20,619",18
Sales and office occupations,"28,185","12,818","15,356",11
"Farming, fishing, and forestry occupations","12,335","10,026","2,304",5
"Construction, extraction, maintenance, and repair occupations","7,337","7,169",168,-
"Production, transportation, and material moving occupations","39,231","30,268","8,953",10
Military,47,37,9,1
No occupation/not working outside home,"478,498","174,762","303,397",339
Homemakers,"132,864","5,542","127,206",116
Students or children,"253,467","128,790","124,501",176
Retirees,"11,086","4,846","6,238",2
Unemployed,"81,081","35,584","45,452",45
Unknown,"282,113","128,872","153,140",101
